brand_name,product_category,units_sold,total_revenue,avg_retail_price,transactions
Motivi,Jacket/Coat,1,32.99,32.99,1
Pistola,Jeans/Pants,1,32.99,32.99,1
R & K,Jeans/Pants,1,32.99,32.99,1
Resa,Dress,1,32.99,32.99,1
Scotch & Soda,Sweater/Cardigan,1,32.99,32.99,1
See You Monday,Top,1,32.99,32.99,1
Sensation,Dress,1,32.99,32.99,1
So,Other,1,32.99,32.99,1
Thya Los Angeles,Dress,1,32.99,32.99,1
Zayre,Top,1,32.99,32.99,1
Andree,Top,1,31.99,31.99,1
Evan-Picone,Dress,1,31.99,31.99,1
Inc,Dress,1,31.99,31.99,1
Lapis,Dress,1,31.99,31.99,1
Loveriche,Dress,1,31.99,31.99,1
Maria Bonita,Dress,1,31.99,31.99,1
Mountain Hardware,Skirt,1,31.99,31.99,1
Eyeshadow,Top,2,31.98,15.99,2
Nanette Lepore,Top,2,31.98,15.99,2
Wild Fable,Top,3,31.97,10.66,2
Taylor Investments,Other,1,30.99,30.99,1
Divided,Top,2,30.98,15.49,2
Old Navy,Jeans/Pants,2,30.98,15.49,2
Caleaas,Jacket/Coat,1,30.0,30.0,1
Authentic Hendrix,Top,1,29.99,29.99,1
Bar III,Skirt,1,29.99,29.99,1
Blu Pepper,Sweater/Cardigan,1,29.99,29.99,1
Brooks Brothers,Dress,1,29.99,29.99,1
Citizens of Humanity,Jeans/Pants,1,29.99,29.99,1
Cloth & Stone,Dress,1,29.99,29.99,1
Comfortiva,Top,1,29.99,29.99,1
Cupcakes&Cashews,Jacket/Coat,1,29.99,29.99,1
Entro,Skirt,1,29.99,29.99,1
Greylin,Dress,1,29.99,29.99,1
Griffen,Sweater/Cardigan,1,29.99,29.99,1
Her Entire Name Says Grace,Romper/Jumpsuit,1,29.99,29.99,1
Judith March,Skirt,1,29.99,29.99,1
JustFab,Top,1,29.99,29.99,1
L'Artiste,Top,1,29.99,29.99,1
Lydia,Set,1,29.99,29.99,1
Madewell,Shoes,1,29.99,29.99,1
Madewell,Skirt,1,29.99,29.99,1
Marilyn Monroe,Set,1,29.99,29.99,1
Paani,Dress,1,29.99,29.99,1
Paul McCartney,Top,1,29.99,29.99,1
Rag & Bone,Top,1,29.99,29.99,1
Rustler,Shorts,1,29.99,29.99,1
Von Dutch,Accessories,1,29.99,29.99,1
WhiteRoom & Cactus,Jacket/Coat,1,29.99,29.99,1
Wit & Wisdom,Jeans/Pants,1,29.99,29.99,1
Eunina,Shorts,2,29.98,14.99,2
&Merci,Top,1,28.99,28.99,1
Akira,Other,1,28.99,28.99,1
Ammo,Top,1,28.99,28.99,1
Ann Taylor,Jeans/Pants,1,28.99,28.99,1
Asos Design,Skirt,1,28.99,28.99,1
Ava James,Top,1,28.99,28.99,1
Avenue,Skirt,1,28.99,28.99,1
Banana Republic,Sweater/Cardigan,1,28.99,28.99,1
Bershka,Jacket/Coat,1,28.99,28.99,1
Charlotte Russe,Skirt,1,28.99,28.99,1
Cole Haan,Shoes,1,28.99,28.99,1
Dialogue,Other,1,28.99,28.99,1
Flying Tomato,Jeans/Pants,1,28.99,28.99,1
Fore,Top,1,28.99,28.99,1
Fossil,Dress,1,28.99,28.99,1
French Connection,Dress,1,28.99,28.99,1
GTW Urban,Dress,1,28.99,28.99,1
Kim Rogers,Top,1,28.99,28.99,1
Lauren Ralph Lauren,Jeans/Pants,1,28.99,28.99,1
Levi'S,Jeans/Pants,1,28.99,28.99,1
Lila Rose,Dress,1,28.99,28.99,1
Miss Me,Skirt,1,28.99,28.99,1
Moda,Other,1,28.99,28.99,1
Schutz,Shoes,1,28.99,28.99,1
Vici,Top,1,28.99,28.99,1
studio I,Top,1,28.99,28.99,1
Liz Claiborne,Accessories,2,28.98,14.49,2
Alfani,Dress,1,27.99,27.99,1
Bisou Bisou,Top,1,27.99,27.99,1
Blush,Other,1,27.99,27.99,1
Delicates,Top,1,27.99,27.99,1
Diane Gilman,Jeans/Pants,1,27.99,27.99,1
JM Collection,Skirt,1,27.99,27.99,1
Julia,Top,1,27.99,27.99,1
Karen Scott,Skirt,1,27.99,27.99,1
Kori America,Dress,1,27.99,27.99,1
Lena Gabrielle,Jacket/Coat,1,27.99,27.99,1
Lili Sidonio,Top,1,27.99,27.99,1
Lyn Burcher,Top,1,27.99,27.99,1
Madden Girl,Top,1,27.99,27.99,1
Pilcro,Jeans/Pants,1,27.99,27.99,1
Rock & Republic,Other,1,27.99,27.99,1
Sasson,Dress,1,27.99,27.99,1
She's Cool,Dress,1,27.99,27.99,1
Signature,Dress,1,27.99,27.99,1
Sincerely Jules,Dress,1,27.99,27.99,1
Sincerely Jules,Sweater/Cardigan,1,27.99,27.99,1
Trixxi,Dress,1,27.99,27.99,1
Umgee,Romper/Jumpsuit,1,27.99,27.99,1
Xxz,Dress,1,27.99,27.99,1
Nanette Lepore,Other,2,27.98,13.99,2
Unknown,Romper/Jumpsuit,2,27.48,19.99,2
Alexandria Bartlett,Other,1,26.99,26.99,1
Athleta,Skirt,1,26.99,26.99,1
Bailey Rose,Jeans/Pants,1,26.99,26.99,1
Casual Corner,Skirt,1,26.99,26.99,1
Christian Siriano,Top,1,26.99,26.99,1
Essence,Skirt,1,26.99,26.99,1
Fantastic Fawn,Dress,1,26.99,26.99,1
Free People,Other,1,26.99,26.99,1
Gigio USA,Top,1,26.99,26.99,1
Hyfve,Top,1,26.99,26.99,1
Kim Rogers,Skirt,1,26.99,26.99,1
L.S. Dunes,Top,1,26.99,26.99,1
Massimo Fabbro,Jeans/Pants,1,26.99,26.99,1
