date,hour,month,day_of_week,week_num,receipt_number,sku,details,brand_name,product_category,size,quantity,subtotal,sales_tax,total,retail_price,has_discount
2026-03-28,14,3,Saturday,13,14,10003665,VINTAGE/studioI/blouse/grn/14,studio I,Top,14,1.0,28.99,2.68158,31.67158,28.99,False
2026-03-28,14,3,Saturday,13,14,10003335,Badgley Mischka Dress Floral Black / Black / 8 / abc,Badgley Mischka,Dress,,1.0,125.99,11.65408,137.64408,125.99,False
2026-03-28,14,3,Saturday,13,14,10006411,RefugeDenim/LightDenimVest/SizeM,Refuge Denim,Jeans/Pants,M,1.0,24.99,2.31158,27.30158,24.99,False
2026-03-28,14,3,Saturday,13,13,10005997,TheSak/BrwnFloralBag,The Sak,Accessories,,1.0,45.99,4.25408,50.24408,45.99,False
2026-03-28,14,3,Saturday,13,12,10007250,NWT BCBG Brown Dress Size 8,,Dress,8,1.0,45.99,4.25408,50.24408,45.99,False
2026-03-28,14,3,Saturday,13,11,10006564,Urban Behavior Multicolor Sheer Tank / Size S,Urban Behavior,Top,S,1.0,19.99,1.84908,21.83908,19.99,False
2026-03-28,14,3,Saturday,13,10,10007210,Do & Be Brown & Green Tank / Size M,,Top,M,1.0,23.99,2.21908,26.20908,23.99,False
2026-03-28,13,3,Saturday,13,9,10006254,Gianni Bini Red Shoes Size 11,Giani Bini,Shoes,11,1.0,15.99,1.47908,17.46908,15.99,False
2026-03-28,13,3,Saturday,13,8,10005629,Abercrombie & F Black White Floral LS / Size L,Abercrombie & Fitch,Top,L,1.0,24.99,2.31158,27.30158,24.99,False
2026-03-28,13,3,Saturday,13,8,10004024,Wit X WisdomPants / Plum / 14 / abc,Wit X Wisdom,Jeans/Pants,,1.0,29.99,2.77408,32.76408,29.99,False
2026-03-28,13,3,Saturday,13,7,10007301,Levi's White Shorts / Size 30,Levi Strauss & Co,Shorts,30,1.0,26.99,2.49658,29.48658,26.99,False
2026-03-28,13,3,Saturday,13,7,10006275,GAP White Lace Top/Size L,Gap,Top,L,1.0,26.99,2.49658,29.48658,26.99,False
2026-03-28,13,3,Saturday,13,651,10006274,VINTAGE Floral Orange/Tan Shirt/ Size 12,Unknown,Top,12,1.0,45.99,4.25408,50.24408,45.99,False
2026-03-28,13,3,Saturday,13,651,10003994,Orange Drop Earrings,,Accessories,,1.0,8.5,0.78625,9.28625,8.5,False
