sku,product_name,brand_name,product_category,size,retail_price,supply_price,gross_margin_pct,current_inventory,sold_revenue,closing_inventory,inventory_cost
10007122,Colebrook Blk Leather Coat,Colebrook,Jacket/Coat,S,39.99,0.0,,0,39.99,0,0.0
10006580,Desigual Army Green Jacket w Beading,Desigual,Jacket/Coat,44,39.99,0.0,,0,39.99,0,0.0
10006502,Desigual Jean Skirt,Desigual,Skirt,38,39.99,0.0,,0,39.99,0,0.0
10006301,Desigual Pink Embroidered Dress,Desigual,Dress,36,39.99,0.0,,0,39.99,0,0.0
10007094,Fleur Silk Scarf,Fleur,Accessories,,39.99,0.0,,0,39.99,0,0.0
10003347,Green Suede Boots La Canadienne 1,La Canadienne,Shoes,6,39.99,12.99,67.5,0,39.99,0,0.0
10002474,Hanes (collector item)Tee Shirt_Za,Hanes (collector item),Top,,39.99,0.0,,0,39.99,0,0.0
10004394,HoldingHorses BrwnLacedBoot,Holding Horses,Shoes,39,39.99,0.0,,0,39.99,0,0.0
10003944,JR Nites Black Sheer Longsleeve,JR Nites,Other,12,39.99,0.0,,0,39.99,0,0.0
10000276,KutPants_Me,Kut,Jeans/Pants,,1.0,0.0,,0,39.99,1,0.0
10006691,Mink Pink Multicolor SL Dress,MinkPink,Dress,S,39.99,0.0,,0,39.99,0,0.0
10004740,Nick&Mo Prp&Blk Square Coat,Nick X Mo,Jacket/Coat,XL,39.99,0.0,,0,39.99,0,0.0
10004395,SamEdelman Blk&GoldLoafer,Sam Edelman,Shoes,8.5,39.99,0.0,,0,39.99,0,0.0
10007634,Sharmark Black Gold Shawl,,Other,,39.99,0.0,,0,39.99,0,0.0
10003962,Silver Sequin Sheer Dress,Unknown,Dress,M,39.99,0.0,,0,39.99,0,0.0
10007945,Slate & Willow Multi-color Dress XS,,Dress,,39.99,0.0,,0,39.99,0,0.0
10004073,Trench Italian Boot Blk,Trench,Jacket/Coat,7,39.99,0.0,,0,39.99,0,0.0
10005380,unknown dress org flw,Unknown,Dress,M,39.99,0.0,,0,39.99,0,0.0
10004535,VINTAGE Beige Slip Dress Embr,,Dress,S,39.99,0.0,,0,39.99,0,0.0
10003908,VINTAGE Blk&Gld Night Slip,Unknown,Other,M,39.99,0.0,,0,39.99,0,0.0
10006679,VINTAGE Collage Green Plaid Buttonup,Collage,Other,S,39.99,0.0,,0,39.99,0,0.0
10006514,VINTAGE JR Bazaar Black Colorful Skirt,JR Bazaar,Skirt,11,39.99,0.0,,0,39.99,0,0.0
10006454,VINTAGE Lily Pink LS Buttondown,Lily,Top,M,39.99,0.0,,0,39.99,0,0.0
10007299,Yellow Floral Suede SL Dress,Unknown,Dress,XXL,39.99,0.0,,0,39.99,0,0.0
10006584,Lellis Collection Jean Romper,Lelis Collection,Jeans/Pants,L,38.99,0.0,,0,38.99,0,0.0
10006664,NWT Levi Jean Overalls,Levi Strauss & Co,Jeans/Pants,S,38.99,0.0,,0,38.99,0,0.0
10005918,Persaman Pink & Yellow Skirt,Persaman,Skirt,10,38.99,0.0,,0,38.99,0,0.0
10005824,Shoreline Pink Purple Dress,Shoreline,Dress,,38.99,0.0,,0,38.99,0,0.0
10005915,Desigual Blue Skirt,Desigual,Skirt,XXL,39.99,0.0,,0,38.12061,0,0.0
