receipt_number,date,day_of_week,month,basket_size,order_subtotal,order_total,basket_category
246,2026-04-18,Saturday,4,2,98.98,108.14,2 items
247,2026-04-18,Saturday,4,3,116.97,127.79,3 items
248,2026-04-18,Saturday,4,3,82.97,90.64,3 items
249,2026-04-18,Saturday,4,3,95.97,104.85,3 items
250,2026-04-18,Saturday,4,3,88.97,97.2,3 items
251,2026-04-18,Saturday,4,4,88.96,97.19,4–5 items
252,2026-04-18,Saturday,4,3,146.97,160.56,3 items
253,2026-04-18,Saturday,4,4,76.96,84.08,4–5 items
254,2026-04-18,Saturday,4,3,141.97,155.1,3 items
255,2026-04-18,Saturday,4,2,58.98,64.44,2 items
256,2026-04-18,Saturday,4,6,144.94,158.35,6+ items
257,2026-04-18,Saturday,4,8,227.92,249.0,6+ items
258,2026-04-18,Saturday,4,3,71.97,78.63,3 items
259,2026-04-18,Saturday,4,5,132.95,145.25,4–5 items
260,2026-04-18,Saturday,4,2,37.99,41.5,2 items
261,2026-04-18,Saturday,4,13,317.3,346.65,6+ items
262,2026-04-18,Saturday,4,3,59.97,65.52,3 items
263,2026-04-18,Saturday,4,3,258.98,282.94,3 items
264,2026-04-18,Saturday,4,2,75.98,83.01,2 items
265,2026-04-18,Saturday,4,5,175.95,192.23,4–5 items
266,2026-04-18,Saturday,4,3,63.98,69.9,3 items
267,2026-04-18,Saturday,4,4,117.96,128.87,4–5 items
268,2026-04-18,Saturday,4,4,83.46,91.18,4–5 items
269,2026-04-19,Sunday,4,1,32.99,36.04,1 item
270,2026-04-19,Sunday,4,3,191.98,209.74,3 items
271,2026-04-19,Sunday,4,2,464.99,508.0,2 items
272,2026-04-19,Sunday,4,3,64.97,70.98,3 items
273,2026-04-19,Sunday,4,3,88.97,97.2,3 items
274,2026-04-19,Sunday,4,3,64.97,70.98,3 items
275,2026-04-19,Sunday,4,3,63.97,69.89,3 items
276,2026-04-19,Sunday,4,2,48.18,52.64,2 items
277,2026-04-19,Sunday,4,2,99.98,109.23,2 items
278,2026-04-19,Sunday,4,2,27.98,30.57,2 items
279,2026-04-19,Sunday,4,5,134.45,146.89,4–5 items
280,2026-04-19,Sunday,4,2,47.98,52.42,2 items
281,2026-04-19,Sunday,4,6,217.94,238.1,6+ items
282,2026-04-19,Sunday,4,5,118.95,129.95,4–5 items
283,2026-04-19,Sunday,4,4,96.96,105.93,4–5 items
284,2026-04-19,Sunday,4,3,63.97,69.89,3 items
285,2026-04-19,Sunday,4,3,107.98,117.97,3 items
286,2026-04-22,Wednesday,4,4,82.96,90.63,4–5 items
287,2026-04-22,Wednesday,4,13,510.88,558.14,6+ items
288,2026-04-22,Wednesday,4,2,29.98,32.75,2 items
289,2026-04-22,Wednesday,4,2,82.98,90.66,2 items
290,2026-04-22,Wednesday,4,4,153.96,168.2,4–5 items
291,2026-04-23,Thursday,4,3,78.97,86.27,3 items
292,2026-04-23,Thursday,4,1,22.99,25.12,1 item
293,2026-04-23,Thursday,4,3,48.98,53.51,3 items
294,2026-04-23,Thursday,4,3,122.98,134.36,3 items
295,2026-04-23,Thursday,4,1,79.99,87.39,1 item
296,2026-04-23,Thursday,4,3,68.97,75.35,3 items
297,2026-04-23,Thursday,4,2,39.99,43.69,2 items
298,2026-02-21,Saturday,2,1,14.99,16.38,1 item
299,2026-04-24,Friday,4,3,84.97,92.83,3 items
300,2026-04-24,Friday,4,3,129.98,142.0,3 items
301,2026-04-24,Friday,4,11,527.91,576.74,6+ items
302,2026-04-24,Friday,4,4,80.96,88.45,4–5 items
303,2026-04-24,Friday,4,3,62.97,68.79,3 items
304,2026-04-24,Friday,4,4,90.96,99.37,4–5 items
305,2026-04-24,Friday,4,2,45.98,50.23,2 items
306,2026-04-24,Friday,4,3,61.97,67.7,3 items
307,2026-04-24,Friday,4,6,131.94,144.14,6+ items
308,2026-04-24,Friday,4,4,117.96,128.87,4–5 items
309,2026-04-24,Friday,4,7,177.93,194.39,6+ items
310,2026-04-24,Friday,4,3,90.97,99.38,3 items
311,2026-04-24,Friday,4,3,79.07,86.39,3 items
312,2026-04-24,Friday,4,2,37.98,41.49,2 items
313,2026-04-24,Friday,4,2,37.98,41.49,2 items
314,2026-04-25,Saturday,4,2,26.98,29.48,2 items
315,2026-04-25,Saturday,4,3,62.97,68.79,3 items
316,2026-04-25,Saturday,4,5,102.95,112.47,4–5 items
317,2026-04-25,Saturday,4,3,83.97,91.74,3 items
318,2026-04-25,Saturday,4,4,90.97,99.38,4–5 items
319,2026-04-25,Saturday,4,6,148.95,162.73,6+ items
320,2026-04-25,Saturday,4,5,110.96,121.22,4–5 items
321,2026-04-25,Saturday,4,3,93.97,102.66,3 items
322,2026-04-25,Saturday,4,3,56.98,62.25,3 items
323,2026-04-25,Saturday,4,6,220.94,241.38,6+ items
324,2026-04-25,Saturday,4,4,166.97,182.41,4–5 items
325,2026-04-25,Saturday,4,3,53.97,58.96,3 items
326,2026-04-25,Saturday,4,2,38.98,42.59,2 items
327,2026-04-25,Saturday,4,2,68.98,75.36,2 items
328,2026-04-26,Sunday,4,2,40.98,44.77,2 items
329,2026-04-26,Sunday,4,5,117.95,128.86,4–5 items
330,2026-04-26,Sunday,4,3,71.97,78.63,3 items
331,2026-04-26,Sunday,4,4,115.96,126.69,4–5 items
332,2026-04-26,Sunday,4,2,58.98,64.44,2 items
333,2026-04-26,Sunday,4,8,176.93,193.3,6+ items
334,2026-04-26,Sunday,4,4,81.96,89.54,4–5 items
335,2026-04-26,Sunday,4,3,75.97,83.0,3 items
336,2026-04-26,Sunday,4,6,127.94,139.77,6+ items
337,2026-04-29,Wednesday,4,6,191.94,209.69,6+ items
338,2026-04-29,Wednesday,4,2,37.98,41.49,2 items
339,2026-04-29,Wednesday,4,3,100.97,110.31,3 items
340,2026-04-29,Wednesday,4,2,56.98,62.25,2 items
341,2026-04-29,Wednesday,4,2,38.99,42.6,2 items
342,2026-04-29,Wednesday,4,2,44.98,49.14,2 items
343,2026-04-30,Thursday,4,2,44.98,49.14,2 items
344,2026-04-30,Thursday,4,6,139.95,152.9,6+ items
345,2026-04-30,Thursday,4,3,260.97,285.11,3 items
346,2026-04-30,Thursday,4,7,195.94,214.06,6+ items
347,2026-04-30,Thursday,4,7,176.93,193.3,6+ items
