Product,SKU,Supplier Code,Brand,Supplier,Category,Tag,Closing Inventory,Revenue,Inventory Cost
Alex Evenings PnkSequin Coat/Size L,10004061,,Alex Evenings,,,,1,0,0
Alex Marie Black Sequin Pants 12,10008424,,,,,,1,0,9
Alex Marie Black/Pink w Floral Embroid/Size 14,10009803,,Alex Marie,,,,1,0,0
AlexEvenings/GreyTieBlouse/SizeS,10005464,,Alex Evenings,,,,1,0,0
AlexMarie/BlkHeeledFlats/Size9M,10004378,,Alex Marie,,,,0,19.99,0
AlexXAni/SSilverRing/Size7.5,10008792,,Alex x Ani Alexander,,,,1,0,8
Alexandria Barlett Black Colorful Capris / Size 8,10007447,,Alexandria Bartlett,,,,0,26.99,0
Alexis Bittar Gold Colored Enamel Ring,10003226,,Alexis Bitlar,,,,0,23.16057,0
Alfani Black & Beige SL Dress / Size 16,10007474,,Alfani,,,,0,27.99,0
Alfani Black Trouser/ Size 18,10004357,,Alfani,,,,1,0,0
Alfani/Blue&BlkDress/SizeXXL,10004909,,Alfani,,,,0,22.99,0
Alfred Dunner Beige Beaded SS / Size XL,10004760,,Alfred Dunner,,,,1,0,0
Ali & Chris Black LS Sheer Tie Front / Size M,10005531,,Ali X Chris,,,,1,0,0
Ali & Christ Gray SS / Size M,10004730,,Ali X Chris,,,,0,15.99,0
Alia Pink & White Buttondown SS / Size 14,10005600,,Alia Petite,,,,1,0,0
AliceM/Pink&BlkFloralShirt/SizeS,10004862,,Alice Moon,,,,1,0,0
All in Favor Dark Blue Sweater / Size M,10004236,,All in Favor,,,,1,0,0
All in Motion Orange Shorts M,10008511,,,,,,1,0,10.95
AllSaints/BlkSweater/SizeXS,10004657,,All Saints,,,,1,0,0
Allegra White Blouse Bodysuit / Size XS,10006973,,Allegra K,,,,0,16.99,0
Allegria Red Sling Backs/Size7-7.5,10007080,,Allegria,,,,0,35.99,0
Allison B SL Dress Multicolor Texture / Size S,10005199,,Allison Brittney,,,,0,15.99,0
Allison D Blue QS / Size M,10004994,,Allison Dailey,,,,1,0,0
Allison Daley Black Vest,10008276,,,,,,1,0,5.5
Allison Joy Red Print Dress S,10007859,,,,,,1,0,0
Allison T Brown Buttondown SL Dress / Size L,10006713,,Allison Taylor,,,,0,25.99,0
AllisonDaley Multicolor Sweater/Size M,10003826,,Allison Dailey,,,,1,0,0
AllisonJoy Grey Sequin Blouse/Size XS,10003974,,Allison Joy,,,,2,0,0
Alloy Plum Ruffle Pant/Size XXL,10004023,,Alloy Apparel,,,,1,0,0
Alma Mater Orange & White Chevron / Size M,10005110,,Alma-Mater Collection,,,,0,22.99,0
Alo Black Bodysuit M,10007603,,,,,,1,0,0
Altar'd State  Blue & Orange Flw LS Dress / Size L,10005005,,Altarxd State,,,,1,0,0
Altar'd State Beige Crop Sweater / Size M,10005016,,Altarxd State,,,,1,0,0
Altar'd State Black Denim Shorts Romper/Size S,10006761,,Altarxd State,,,,0,25.99,0
Altar'd State Black Sheer LS Embroid / Size M,10005021,,Altarxd State,,,,0,23.99,0
Altar'd State Black Textured Tank / Size L,10006605,,Altarxd State,,,,1,0,0
Altar'd State Blue Dress/Size S,10005821,,Altarxd State,,,,0,32.99,0
Altar'd State Blue Floral Romper / Size M,10005120,,Altarxd State,,,,1,0,0
Altar'd State Blush Sweater / Size S,10005254,,Altarxd State,,,,1,0,0
Altar'd State Burgundy & Gold SL Dress / Size S,10005260,,Altarxd State,,,,1,0,0
Altar'd State Burgundy Fringe Skirt / Size M,10007021,,Altarxd State,,,,1,0,0
Altar'd State Burnt Orange Skirt / Size M,10006556,,Altarxd State,,,,1,0,0
Altar'd State Lace SL Blouse / Size M,10005597,,Altarxd State,,,,0,19.99,0
Altar'd State NWT Linen Crop Top / Size S,10006593,,Altarxd State NWT,,,,1,0,0
Altar'd State Orange Polka Dot Skirt / Size S,10005706,,Altarxd State,,,,0,25.99,0
Altar'd State Peachy Pink Skirt / Size S,10005717,,Altarxd State,,,,1,0,0
Altar'd State Pink Cherry Tank Top / Size S,10008153,,Altarxd State,,,,0,19.99,0
Altar'd State Pink Floral SS Ruffle Dress / Size S,10007112,,Altarxd State,,,,0,25.99,0
Altar'd State Purple SS Top S,10008635,,,,,,1,0,3
Altar'd State Purple Sweater / Size XS,10005961,,Altarxd State,,,,1,0,0
Altar'd State Red LS / Size XS,10005952,,Altarxd State,,,,1,0,0
Altar'd State Tank Black/Size S,10005215,,Altarxd State,,,,0,12.99,0
