id,handle,sku,composite_name,composite_sku,composite_quantity,name,description,product_category,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,tags,active_online,weight,weight_unit,length,width,height,dimensions_unit,supply_price,retail_price,account_code,account_code_purchase,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Knoxville_Location,inventory_Knoxville_Location,reorder_point_Knoxville_Location,restock_level_Knoxville_Location
8a376c23-e560-40e4-ad91-afbc9a7bbede,sanctuary-pants-black-plaid-size-xl,10003552,,,,Sanctuary Pants Black Plaid Size XL,,,,,,,,,,1,0,,0,0,0,,0,44.99,,,Sanctuary,,,1,1,Default Tax,1,,
56e14e93-915f-4d7a-9262-9a96410c74b8,sanctuary-pink-sleeveless-top-size-l,10007270,,,,Sanctuary Pink Sleeveless Top Size L,,,,,,,,,,0,0,LB,0,0,0,IN,0,18.99,,,,,,1,1,Default Tax,0,,
140ab5cd-9452-4b49-a7df-14fd3bfd48f3,philosophy-red-one-shoulder-topsize-s,10004192,,,,Sanctuary Red One Shoulder Top/Size S,,,,,,,,,,1,0,,0,0,0,,0,27.99,,,Sanctuary,,,1,1,Default Tax,1,,
bc849bce-7aeb-4000-943e-64101d3298ad,sanctuary-sweater-grey-size-m,10003495,,,,Sanctuary Sweater Grey Size M,,,,,,,,,,1,0,,0,0,0,,0,32.99,,,Sanctuary,,,1,1,Default Tax,1,,
2aefb258-f0f3-4b0c-942e-b63fbfd9fc1a,sanctuary-tan-shortssize-28,10007322,,,,Sanctuary Tan Shorts/Size 28,,,,,,,,,,0,0,LB,0,0,0,IN,0,23.99,,,Sanctuary,,,1,1,Default Tax,1,,
94c0261d-3260-41d5-b214-2fdba9d8f120,sanctuary-white-pants-size-m,10007426,,,,Sanctuary White Pants Size M,,,,,,,,,,0,0,LB,0,0,0,IN,0,28.99,,,,,,1,1,Default Tax,1,,
06558895-cbbb-4f85-b7ee-3a0023153ffa,sanctuary-multicolor-blouse-size-m,10005080,,,,Sanctuary/ Multicolor Blouse/ Size M,,,,,,,,,,0,0,LB,0,0,0,IN,0,15.99,,,Sanctuary,,,1,1,Default Tax,1,,
2af1381c-46af-4756-ba37-6dc23efa8958,sanctuaryblkcirccutouttopsizes,10005462,,,,Sanctuary/BlkCirccutoutTop/SizeS,,,,,,,,,,0,0,LB,0,0,0,IN,0,16.99,,,Sanctuary,,,1,1,Default Tax,0,,
0ce3f103-b54c-4ba6-841f-f3eaf840566b,sanctuarymustardblousesizem,10005296,,,,Sanctuary/MustardBlouse/SizeM,,,,,,,,,,0,0,LB,0,0,0,IN,0,15.99,,,Sanctuary,,,1,1,Default Tax,0,,
578ab07f-7694-4600-a712-1dfeb94be3cb,10002420,10002420,,,,SanctuaryLS Top_BP,,,Color,Red,Size,M,Sequence,13.15,,1,,,,,,,0,22.99,,,Sanctuary,,,1,1,Default Tax,1,,
