sku,closing_inventory,revenue,inventory_cost,size,product_name,brand_name,product_category
10005120,1,0.0,0.0,M,Altar'd State Blue Floral Romper,Altar'd State,Romper/Jumpsuit
10005254,1,0.0,0.0,S,Altar'd State Blush Sweater,Altar'd State,Sweater/Cardigan
10005260,1,0.0,0.0,S,Altar'd State Burgundy & Gold SL Dress,Altar'd State,Dress
10007021,1,0.0,0.0,M,Altar'd State Burgundy Fringe Skirt,Altar'd State,Skirt
10006556,1,0.0,0.0,M,Altar'd State Burnt Orange Skirt,Altar'd State,Skirt
10005597,0,19.99,0.0,M,Altar'd State Lace SL Blouse,Altar'd State,Top
10006593,1,0.0,0.0,S,Altar'd State NWT Linen Crop Top,Altar'd State,Top
10005706,0,25.99,0.0,S,Altar'd State Orange Polka Dot Skirt,Altar'd State,Skirt
10005717,1,0.0,0.0,S,Altar'd State Peachy Pink Skirt,Altar'd State,Skirt
10008153,0,19.99,0.0,S,Altar'd State Pink Cherry Tank Top,Altar'd State,Top
10007112,0,25.99,0.0,S,Altar'd State Pink Floral SS Ruffle Dress,Altar'd State,Dress
10008635,1,0.0,3.0,,Altar'd State Purple SS Top S,,Top
10005961,1,0.0,0.0,XS,Altar'd State Purple Sweater,Altar'd State,Sweater/Cardigan
10005952,1,0.0,0.0,XS,Altar'd State Red LS,Altar'd State,Top
10005215,0,12.99,0.0,S,Altar'd State Tank Black,Altar'd State,Top
10008236,1,0.0,3.75,,Altar'd State White Pink LS Top S,,Top
10004858,0,22.99,0.0,XS,AltarXdS LightBrwnSkirt,Altar'd State,Skirt
10007212,1,0.0,0.0,,Altard Black Skirt,Altar'd State,Skirt
10008466,1,0.0,8.0,,Altard State Blue Dress S,,Dress
10008508,0,19.99,0.0,,Altard State Brown Skort S,,Other
10007190,0,24.99,0.0,L,Altard State Dress Brown,,Dress
10008798,1,0.0,7.5,,Altard State Dusty Rose Dress S,,Dress
10008445,1,0.0,14.99,,Altard State Floral Dress S,,Dress
10007202,0,18.99,0.0,S,Altard State Green Top,,Top
10007279,0,19.99,0.0,L,Altard State Overalls White,,Top
10008468,1,0.0,9.0,,Altard State Pink Dress L,,Dress
10007542,1,0.0,0.0,,Altard State Red Floral Dress S,,Dress
10007557,0,16.0,0.0,M,Altard State White Sweater,,Sweater/Cardigan
10008683,1,0.0,8.0,,Altard State black white pants S,,Jeans/Pants
10006840,1,0.0,0.0,L,Altard State blue lace dress,Altar'd State,Dress
10006024,1,0.0,0.0,S,AltardS Whi&BluTop,Altar'd State,Other
10004943,1,0.0,0.0,M,AltardS WhiZipUpSleeveless,Altar'd State,Top
10006129,1,0.0,0.0,S,AltardSt MulticolFloralCropTop,Altar'd State,Top
10005183,1,0.0,0.0,M,AltardState Pattern Crop Brn&Prpl,Altar'd State,Other
10005047,1,0.0,0.0,L,AltardState Slvlss Top Peach,Altar'd State,Top
10005792,0,22.99,0.0,S,AltardState StripeBttnSkirt,Altar'd State,Skirt
10006114,1,0.0,0.0,S,Altardstate MulticolFloralDress,Altar'd State,Dress
10007350,0,28.99,0.0,XS,Altardstateorangeandwhitecheckeredshort,Altar'd State,Shorts
10004842,0,15.99,0.0,S,Altarxd State Orange Pink FL Crop Top,Altar'd State,Top
10002225,1,0.0,0.0,,Altarxd StateDress_H,Altar'd State,Dress
10002834,1,0.0,0.0,,Altarxd StateShirt_Cr,Altar'd State,Top
10000105,1,0.0,0.0,,Altarxd StateSweater_A,Altar'd State,Sweater/Cardigan
10004656,1,0.0,0.0,XL,AltarxdS BeigeSweater,Altar'd State,Sweater/Cardigan
10004742,1,0.0,0.0,S,AlterdState Orange Blouse,Altar'd State,Top
10007012,1,0.0,0.0,L,Alya Mint Green Fuzzy Sweater,Alya,Sweater/Cardigan
10007741,1,0.0,0.0,7,AlynPa OneSlvMulticolDress,Alyn Paige,Dress
10007585,1,0.0,0.0,S,Amanda Smith LS Blouse Green,,Top
10006613,1,0.0,0.0,M,Amang Blue White Sheer SS Top,Amang NY,Top
10006544,1,0.0,0.0,L,Amarsi Black SL Vest,Amarsi,Top
10006128,0,22.99,0.0,,AmberNecklace,Unknown,Accessories
10005367,1,0.0,0.0,L,Ambience Apparel Floral Sleeveless Tank,Ambience Apparel,Top
10004377,0,13.99,0.0,8,Ambrose LeatherAnkleBoots,Ambrose,Shoes
10005615,1,0.0,0.0,,Ameri Leather Brown Bag,Ameri Leather,Accessories
10005134,1,0.0,0.0,S,American E Dusty Blue Striped Off Shoulder,American Eagle Outfitters,Other
10005721,0,32.99,0.0,XS,American Eagle Lace Mesh Skirt,American Eagle Outfitters,Skirt
10008651,1,0.0,3.5,,American Eagle White Tank Top XS,,Top
10005147,0,24.99,0.0,M,AmericanEagle Knit Sweater Pnk&Orng,American Eagle,Sweater/Cardigan
10005171,0,15.99,0.0,S,AmericanEagle Ruche Crop Multicolor,American Eagle Outfitters,Other
10006878,0,24.99,0.0,M,AmericanEagle BlackCorsetTop,American Eagle,Set
10006937,0,19.99,0.0,M,AmericanEagle RedWhiSkirt,American Eagle,Skirt
10005779,1,0.0,0.0,14,Amethyst CapriJean,Amethyst,Jeans/Pants
10007026,0,28.99,0.0,S,Ammo Blk Tank NWT,Ammo,Top
10004097,1,0.0,0.0,S,AnGi ShortSleeve Tan,An. Gi,Shorts
10008770,1,0.0,6.5,,Ana Sui Red & Black Bag,Ana Sui,Accessories
10004736,1,0.0,0.0,S,Analogy Detitier Green Multicolor,Analogy Detiter,Other
10007928,0,12.99,0.0,,Ande Black Purse Gold Hardware,Ande,Accessories
10007970,0,20.0,0.0,,Andrea Jovine Black Fish Dress 6,,Dress
10006548,0,31.99,0.0,S,Andree Army Green Vest,Andree,Top
10008526,1,0.0,13.15,,Andree White Frayed Top S,,Top
10007975,1,0.0,3.75,,Andres White Dress L,,Dress
10007856,1,0.0,0.0,,Angel Biba Floral Print Dress M,,Dress
10006725,0,32.99,0.0,S,Angel Biba White Lace Dress,Angel Biba,Dress
10008160,1,0.0,8.0,29,Angels Never Die White Pants,Angels Never Die,Jeans/Pants
10005140,1,0.0,0.0,S,Angie Embellished Plaid Flannel Brn,Angie,Other
10005473,0,25.99,0.0,S,Angie BlkPurpFloralHalter,Angie,Top
10003390,1,0.0,0.0,S,Ann Klein Cardigan Pink,Anne Klein,Sweater/Cardigan
10006305,1,0.0,0.0,M,Ann M White Floral Buttondown,Ann Mashburn,Other
10004849,1,0.0,0.0,XL,Ann May Black Silk Tank,Ann May,Top
10006288,0,23.99,0.0,L,Ann Taylor Baby Pink Tank,Ann Taylor,Top
10006621,0,23.99,0.0,8,Ann Taylor Black & White Skirt,,Skirt
10004359,1,0.0,0.0,XS,Ann Taylor Black Blouse,Ann Taylor,Top
10005716,0,35.99,0.0,8,Ann Taylor Black Leather Skirt,Ann Taylor,Skirt
10003773,1,0.0,0.0,8,Ann Taylor Black Pants,Ann Taylor LOFT,Jeans/Pants
10005585,1,0.0,0.0,XL,Ann Taylor Black SS Top,Ann Taylor,Top
