datetime,date,hour,month,day_of_week,week_num,receipt_number,total_items,subtotal,sales_tax,total_discount,total,details,register
2026-03-27 20:06:51,2026-03-27,20,3,Friday,13,642,2.0,38.98,3.61,0.0,42.59,1 X ClothXStone/WhiteSlvlessBttnDwn/SizeM + 1 X unknown/tank/blk/m,Main Register
2026-03-27 19:02:11,2026-03-27,19,3,Friday,13,641,1.0,25.99,2.4,0.0,28.39,1 X ZaraSweater_Cu,Main Register
2026-03-27 18:55:37,2026-03-27,18,3,Friday,13,640,1.0,32.99,3.05,0.0,36.04,1 X VINTAGE Zayre Black & W Polka Dot Top / Size M,Main Register
2026-03-27 18:06:25,2026-03-27,18,3,Friday,13,639,1.0,39.99,3.7,0.0,43.69,1 X SamEdelman/Blk&GoldLoafer/Size8.5M,Main Register
2026-03-27 18:02:10,2026-03-27,18,3,Friday,13,638,1.0,21.99,2.03,0.0,24.02,1 X Ronni Nicole Green Cardigan / Size 1x,Main Register
2026-03-27 17:37:23,2026-03-27,17,3,Friday,13,637,3.0,37.97,3.51,0.0,41.48,1 X beige ribbed tanktop/large/xl + 1 X BodyCentral/ Sheer Top/ Camel/ Size M + 1 X AC DCTee Shirt_Ne,Main Register
2026-03-27 17:13:13,2026-03-27,17,3,Friday,13,636,1.0,45.99,4.25,0.0,50.24,1 X Elana Kattau Rainbow Jumpsuit/ Size S,Main Register
2026-03-27 17:11:42,2026-03-27,17,3,Friday,13,635,0.0,8.99,0.83,0.0,9.82,1 X Crm & Bronze Belt/Size S + -1 X Discount,Main Register
2026-03-27 16:57:16,2026-03-27,16,3,Friday,13,634,1.0,18.99,1.76,0.0,20.75,1 X Brown Leather Belt Brass Buckle,Main Register
2026-03-27 16:54:19,2026-03-27,16,3,Friday,13,633,1.0,69.99,6.47,0.0,76.46,1 X 12th Tribe White Sequin Jacket / Size M,Main Register
2026-03-27 16:53:12,2026-03-27,16,3,Friday,13,632,2.0,74.98,6.94,0.0,81.92,1 X Allegria Red Sling Backs/Size7-7.5 + 1 X Persaman Pink & Yellow Skirt / Size 10,Main Register
2026-03-27 16:36:31,2026-03-27,16,3,Friday,13,631,3.0,60.48,5.59,0.0,66.07,1 X August Animal Print Hat + 1 X Lace Long Tunic Apricot/Size L + 1 X Wood Flower Earrings,Main Register
2026-03-27 16:35:02,2026-03-27,16,3,Friday,13,630,1.0,45.99,4.25,0.0,50.24,1 X Metalpurse,Main Register
2026-03-27 15:09:49,2026-03-27,15,3,Friday,13,629,1.0,25.99,2.4,0.0,28.39,1 X J.Crew/ Wrap Blouse/Grn/Size M,Main Register
2026-03-27 15:00:07,2026-03-27,15,3,Friday,13,628,2.0,44.98,4.16,0.0,49.14,1 X InnerMost Ppl Slip/Size S + 1 X Moda/PurplaceTop/SizeXS,Main Register
2026-03-27 14:57:27,2026-03-27,14,3,Friday,13,627,2.0,47.98,4.44,0.0,52.42,1 X J CrewSkirt_vi + 1 X Red & White Necklace,Main Register
2026-03-27 14:53:48,2026-03-27,14,3,Friday,13,626,4.0,107.96,9.99,0.0,117.95,1 X Clarks Brown Leather Boots Size 9M + 1 X Citizens of Humanity Bluejeans / Size 30 + 1 X FP One White Dress Size XL + 1 X Old Navy Brown Dress Size M,Main Register
